report_date,location,location_type,data_field_code,value,Unnamed: 9,Unnamed: 10,ï»¿report_date
2016-04-23,El_Salvador-Sonsonate,department,SV0010,69.0,,,
2016-04-23,El_Salvador-Santa_Ana,department,SV0010,536.0,,,
2016-04-23,El_Salvador-San_Vicente,department,SV0010,282.0,,,
2016-04-23,El_Salvador-San_Salvador,department,SV0010,2334.0,,,
2016-04-23,El_Salvador-San_Miguel,department,SV0010,129.0,,,
2016-04-23,El_Salvador,country,SV0010,6206.0,,,
2016-04-23,El_Salvador-La_Union,department,SV0010,36.0,,,
2016-04-23,El_Salvador-La_Paz,department,SV0010,131.0,,,
2016-04-23,El_Salvador-La_Libertad,department,SV0010,1005.0,,,
2016-04-23,El_Salvador-Cuscatlan,department,SV0010,511.0,,,
2016-04-23,El_Salvador-Chalatenango,department,SV0010,484.0,,,
2016-04-23,El_Salvador-Cabanas,department,SV0010,313.0,,,
2016-04-23,El_Salvador-Ahuachapan,department,SV0010,131.0,,,
2016-04-23,El_Salvador-Morazan,department,SV0010,110.0,,,
2016-04-30,El_Salvador,country,SV0010,6316.0,,,
2016-04-30,El_Salvador-Guatemala,department,SV0010,2.0,,,
2016-04-30,El_Salvador-Usulutan,department,SV0010,135.0,,,
2016-04-30,El_Salvador-Sonsonate,department,SV0010,71.0,,,
2016-04-30,El_Salvador-Santa_Ana,department,SV0010,537.0,,,
2016-04-30,El_Salvador-San_Vicente,department,SV0010,285.0,,,
2016-04-30,El_Salvador-San_Salvador,department,SV0010,2390.0,,,
2016-04-30,El_Salvador-San_Miguel,department,SV0010,133.0,,,
2016-04-30,El_Salvador-Morazan,department,SV0010,110.0,,,
2016-04-30,El_Salvador-La_Paz,department,SV0010,133.0,,,
2016-04-30,El_Salvador-La_Libertad,department,SV0010,1017.0,,,
2016-04-30,El_Salvador-Cuscatlan,department,SV0010,517.0,,,
2016-04-30,El_Salvador-Chalatenango,department,SV0010,498.0,,,
2016-04-30,El_Salvador-Cabanas,department,SV0010,319.0,,,
2016-04-30,El_Salvador-Ahuachapan,department,SV0010,131.0,,,
2016-04-30,El_Salvador-La_Union,department,SV0010,38.0,,,
2016-05-07,El_Salvador,country,SV0010,6398.0,,,
2016-05-07,El_Salvador-Honduras,department,SV0010,1.0,,,
2016-05-07,El_Salvador-Guatemala,department,SV0010,2.0,,,
2016-05-07,El_Salvador-Usulutan,department,SV0010,135.0,,,
2016-05-07,El_Salvador-Sonsonate,department,SV0010,75.0,,,
2016-05-07,El_Salvador-Santa_Ana,department,SV0010,537.0,,,
2016-05-07,El_Salvador-San_Vicente,department,SV0010,287.0,,,
2016-05-07,El_Salvador-San_Miguel,department,SV0010,135.0,,,
2016-05-07,El_Salvador-San_Salvador,department,SV0010,2405.0,,,
2016-05-07,El_Salvador-La_Union,department,SV0010,39.0,,,
2016-05-07,El_Salvador-La_Paz,department,SV0010,136.0,,,
2016-05-07,El_Salvador-La_Libertad,department,SV0010,1031.0,,,
2016-05-07,El_Salvador-Cuscatlan,department,SV0010,525.0,,,
2016-05-07,El_Salvador-Chalatenango,department,SV0010,512.0,,,
2016-05-07,El_Salvador-Cabanas,department,SV0010,334.0,,,
2016-05-07,El_Salvador-Ahuachapan,department,SV0010,134.0,,,
2016-05-07,El_Salvador-Morazan,department,SV0010,110.0,,,
2016-05-14,El_Salvador-Honduras,department,SV0010,1.0,,,
2016-05-14,El_Salvador-Guatemala,department,SV0010,2.0,,,
2016-05-14,El_Salvador-Usulutan,department,SV0010,137.0,,,
2016-05-14,El_Salvador-Sonsonate,department,SV0010,75.0,,,
2016-05-14,El_Salvador-Santa_Ana,department,SV0010,544.0,,,
2016-05-14,El_Salvador-San_Vicente,department,SV0010,287.0,,,
2016-05-14,El_Salvador-San_Salvador,department,SV0010,2416.0,,,
2016-05-14,El_Salvador-San_Miguel,department,SV0010,139.0,,,
2016-05-14,El_Salvador,country,SV0010,6440.0,,,
2016-05-14,El_Salvador-La_Union,department,SV0010,40.0,,,
2016-05-14,El_Salvador-La_Paz,department,SV0010,136.0,,,
2016-05-14,El_Salvador-La_Libertad,department,SV0010,1034.0,,,
2016-05-14,El_Salvador-Cuscatlan,department,SV0010,534.0,,,
2016-05-14,El_Salvador-Chalatenango,department,SV0010,512.0,,,
2016-05-14,El_Salvador-Cabanas,department,SV0010,335.0,,,
2016-05-14,El_Salvador-Ahuachapan,department,SV0010,136.0,,,
2016-05-14,El_Salvador-Morazan,department,SV0010,111.0,,,
2016-05-21,El_Salvador,country,SV0010,6491.0,,,
2016-05-21,El_Salvador-Honduras,department,SV0010,1.0,,,
2016-05-21,El_Salvador-Guatemala,department,SV0010,2.0,,,
2016-05-21,El_Salvador-Usulutan,department,SV0010,139.0,,,
2016-05-21,El_Salvador-Sonsonate,department,SV0010,76.0,,,
2016-05-21,El_Salvador-Santa_Ana,department,SV0010,545.0,,,
2016-05-21,El_Salvador-San_Vicente,department,SV0010,292.0,,,
2016-05-21,El_Salvador-San_Salvador,department,SV0010,2426.0,,,
2016-05-21,El_Salvador-San_Miguel,department,SV0010,146.0,,,
2016-05-21,El_Salvador-La_Union,department,SV0010,42.0,,,
2016-05-21,El_Salvador-La_Paz,department,SV0010,136.0,,,
2016-05-21,El_Salvador-La_Libertad,department,SV0010,1036.0,,,
2016-05-21,El_Salvador-Cuscatlan,department,SV0010,540.0,,,
2016-05-21,El_Salvador-Chalatenango,department,SV0010,524.0,,,
2016-05-21,El_Salvador-Cabanas,department,SV0010,338.0,,,
2016-05-21,El_Salvador-Ahuachapan,department,SV0010,136.0,,,
2016-05-21,El_Salvador-Morazan,department,SV0010,112.0,,,
2016-05-28,El_Salvador-San_Vicente,department,SV0010,293.0,,,
2016-05-28,El_Salvador,country,SV0010,6571.0,,,
2016-05-28,El_Salvador-Honduras,department,SV0010,1.0,,,
2016-05-28,El_Salvador-Guatemala,department,SV0010,2.0,,,
2016-05-28,El_Salvador-Usulutan,department,SV0010,142.0,,,
2016-05-28,El_Salvador-Sonsonate,department,SV0010,79.0,,,
2016-05-28,El_Salvador-Santa_Ana,department,SV0010,547.0,,,
2016-05-28,El_Salvador-San_Miguel,department,SV0010,152.0,,,
2016-05-28,El_Salvador-San_Salvador,department,SV0010,2456.0,,,
2016-05-28,El_Salvador-Morazan,department,SV0010,112.0,,,
2016-05-28,El_Salvador-La_Union,department,SV0010,47.0,,,
2016-05-28,El_Salvador-La_Paz,department,SV0010,138.0,,,
2016-05-28,El_Salvador-La_Libertad,department,SV0010,1044.0,,,
2016-05-28,El_Salvador-Cuscatlan,department,SV0010,540.0,,,
2016-05-28,El_Salvador-Chalatenango,department,SV0010,535.0,,,
2016-05-28,El_Salvador-Cabanas,department,SV0010,346.0,,,
2016-05-28,El_Salvador-Ahuachapan,department,SV0010,137.0,,,
2016-06-04,El_Salvador-Santa_Ana,department,SV0010,552.0,,,
2016-06-04,El_Salvador-Sonsonate,department,SV0010,80.0,,,
2016-06-04,El_Salvador-Usulutan,department,SV0010,144.0,,,
2016-06-04,El_Salvador-San_Miguel,department,SV0010,154.0,,,
2016-06-04,El_Salvador-Honduras,department,SV0010,1.0,,,
2016-06-04,El_Salvador,country,SV0010,6640.0,,,
2016-06-04,El_Salvador-San_Vicente,department,SV0010,293.0,,,
