report_date,value,location,location_type,data_field_code
2016-01-09,0.0,Colombia-Boyaca-Umbita,municipality,CO0002
2016-01-09,0.0,Colombia-Boyaca-Ventaquemada,municipality,CO0002
2016-01-09,0.0,Colombia-Boyaca-Viracacha,municipality,CO0002
2016-01-09,0.0,Colombia-Boyaca-Zetaquira,municipality,CO0002
2016-01-09,0.0,Colombia-Caldas-Unknown,municipality,CO0002
2016-01-09,1.0,Colombia-Caldas-Manizales,municipality,CO0002
2016-01-09,0.0,Colombia-Caldas-Aguadas,municipality,CO0002
2016-01-09,0.0,Colombia-Caldas-Anserma,municipality,CO0002
2016-01-09,0.0,Colombia-Caldas-Aranzazu,municipality,CO0002
2016-01-09,0.0,Colombia-Boyaca-Toca,municipality,CO0002
2016-01-09,0.0,Colombia-Boyaca-Ramiriqui,municipality,CO0002
2016-01-09,0.0,Colombia-Cesar-Curumani,municipality,CO0002
2016-01-09,0.0,Colombia-Cesar-El_Paso,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Junin,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-La_Calera,municipality,CO0002
2016-01-09,8.0,Colombia-Cundinamarca-La_Mesa,municipality,CO0002
2016-01-09,3.0,Colombia-Cundinamarca-La_Palma,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-La_Pena,municipality,CO0002
2016-01-09,1.0,Colombia-Cundinamarca-La_Vega,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Jerusalen,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Lenguazaque,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Madrid,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Manta,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Medina,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Mosquera,municipality,CO0002
2016-01-09,12.0,Colombia-Cundinamarca-Narino,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Nemocon,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Macheta,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Nilo,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Gutierrez,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Guayabal_De_Siquima,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Funza,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Fuquene,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Fusagasuga,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Gachala,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Gachancipa,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Gacheta,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Guayabetal,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Gama,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Granada,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Guacheta,municipality,CO0002
2016-01-09,4.0,Colombia-Cundinamarca-Guaduas,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Guasca,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Guataqui,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Guatavita,municipality,CO0002
2016-01-09,1385.0,Colombia-Cundinamarca-Girardot,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Nimaima,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Nocaima,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Venecia,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Sibate,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Silvania,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Simijaca,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Soacha,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Sopo,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Subachoque,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Sesquile,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Suesca,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Susa,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Sutatausa,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Tabio,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Tausa,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Tena,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Tenjo,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Supata,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Sasaima,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-San_Juan_De_Rio_Seco,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-San_Francisco,municipality,CO0002
2016-01-09,1.0,Colombia-Cundinamarca-Pacho,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Paime,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Pandi,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Paratebueno,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Pasca,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Puerto_Salgar,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Puli,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Quebradanegra,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Quetame,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Quipile,municipality,CO0002
2016-01-09,13.0,Colombia-Cundinamarca-Apulo,municipality,CO0002
2016-01-09,87.0,Colombia-Cundinamarca-Ricaurte,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-San_Antonio_Del_Tequendama,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-San_Bernardo,municipality,CO0002
