report_date,location,location_type,data_field_code,value,ï»¿report_date
2016-04-05,Guatemala-Jalapa,municipality,GT0001,0.0,
2016-04-05,Guatemala-Suchitepequez,municipality,GT0001,0.0,
2016-04-05,Guatemala-Jutiapa,municipality,GT0001,1.0,
2016-04-05,Guatemala-Izabal,municipality,GT0001,1.0,
2016-04-05,Guatemala-Peten_Sur_Oriental,municipality,GT0001,0.0,
2016-04-05,Guatemala-Retalhuleu,municipality,GT0001,0.0,
2016-04-05,Guatemala-Chiquimula,municipality,GT0001,1.0,
2016-04-05,Guatemala-Santa_Rosa,municipality,GT0001,1.0,
2016-04-05,Guatemala-Quetzaltenango,municipality,GT0001,0.0,
2016-04-05,Guatemala-Zacapa,municipality,GT0001,1.0,
2016-04-05,Guatemala,country,GT0001,5.0,
2016-04-05,Guatemala-San_Marcos,municipality,GT0001,0.0,
2016-05-07,Guatemala-Peten_Sur_Occidental,municipality,GT0001,0.0,
2016-05-07,Guatemala-El_Progreso,municipality,GT0001,0.0,
2016-05-07,Guatemala-Central,municipality,GT0001,1.0,
2016-05-07,Guatemala-Nor_Oriente,municipality,GT0001,1.0,
2016-05-07,Guatemala-El_Quiche,municipality,GT0001,1.0,
2016-05-07,Guatemala-Nor_Occidente,municipality,GT0001,0.0,
2016-05-07,Guatemala-Chimaltenango,municipality,GT0001,0.0,
2016-05-07,Guatemala-Sacatepequez,municipality,GT0001,0.0,
2016-05-07,Guatemala-Solola,municipality,GT0001,0.0,
2016-05-07,Guatemala-San_Marcos,municipality,GT0001,0.0,
2016-05-07,Guatemala-Sur,municipality,GT0001,0.0,
2016-05-07,Guatemala-Peten_Norte,municipality,GT0001,0.0,
2016-05-07,Guatemala-Escuintla,municipality,GT0001,0.0,
2016-05-07,Guatemala-Izabal,municipality,GT0001,1.0,
2016-05-07,Guatemala-Chiquimula,municipality,GT0001,5.0,
2016-05-07,Guatemala-Quetzaltenango,municipality,GT0001,7.0,
2016-05-07,Guatemala-Santa_Rosa,municipality,GT0001,14.0,
2016-05-07,Guatemala-Zacapa,municipality,GT0001,0.0,
2016-05-07,Guatemala,country,GT0001,34.0,
2016-05-07,Guatemala-Retalhuleu,municipality,GT0001,1.0,
2016-05-07,Guatemala-Peten_Sur_Oriental,municipality,GT0001,1.0,
2016-05-07,Guatemala-Jutiapa,municipality,GT0001,2.0,
2016-05-07,Guatemala-Jalapa,municipality,GT0001,0.0,
2016-05-07,Guatemala-Suchitepequez,municipality,GT0001,0.0,
2016-05-14,Guatemala-Santa_Rosa,municipality,GT0001,9.0,
2016-05-14,Guatemala-Zacapa,municipality,GT0001,0.0,
2016-05-14,Guatemala,country,GT0001,31.0,
2016-05-14,Guatemala-Jutiapa,municipality,GT0001,0.0,
2016-05-14,Guatemala-Suchitepequez,municipality,GT0001,1.0,
2016-05-14,Guatemala-Retalhuleu,municipality,GT0001,0.0,
2016-05-14,Guatemala-Jalapa,municipality,GT0001,4.0,
2016-05-14,Guatemala-Peten_Sur_Oriental,municipality,GT0001,2.0,
2016-05-14,Guatemala-Izabal,municipality,GT0001,1.0,
2016-05-14,Guatemala-Peten_Norte,municipality,GT0001,0.0,
2016-05-14,Guatemala-El_Progreso,municipality,GT0001,1.0,
2016-05-14,Guatemala-Quetzaltenango,municipality,GT0001,7.0,
2016-05-14,Guatemala-San_Marcos,municipality,GT0001,2.0,
2016-05-14,Guatemala-Central,municipality,GT0001,2.0,
2016-05-14,Guatemala-Nor_Oriente,municipality,GT0001,0.0,
2016-05-14,Guatemala-Peten_Sur_Occidental,municipality,GT0001,0.0,
2016-05-14,Guatemala-El_Quiche,municipality,GT0001,0.0,
2016-05-14,Guatemala-Nor_Occidente,municipality,GT0001,0.0,
2016-05-14,Guatemala-Ixcan,municipality,GT0001,0.0,
2016-05-14,Guatemala-Sur,municipality,GT0001,0.0,
2016-05-14,Guatemala-Chimaltenango,municipality,GT0001,0.0,
2016-05-14,Guatemala-Sacatepequez,municipality,GT0001,0.0,
2016-05-14,Guatemala-Solola,municipality,GT0001,0.0,
2016-05-14,Guatemala-Escuintla,municipality,GT0001,0.0,
2016-05-14,Guatemala-Chiquimula,municipality,GT0001,2.0,
2016-05-23,Guatemala-Chiquimula,municipality,GT0001,2.0,
2016-05-23,Guatemala-Sur,municipality,GT0001,0.0,
2016-05-23,Guatemala-Santa_Rosa,municipality,GT0001,0.0,
2016-05-23,Guatemala-Quetzaltenango,municipality,GT0001,2.0,
2016-05-23,Guatemala-Nor_Occidente,municipality,GT0001,0.0,
2016-05-23,Guatemala-Suchitepequez,municipality,GT0001,2.0,
2016-05-23,Guatemala-Retalhuleu,municipality,GT0001,0.0,
2016-05-23,Guatemala-Jalapa,municipality,GT0001,3.0,
2016-05-23,Guatemala-Peten_Sur_Oriental,municipality,GT0001,0.0,
2016-05-23,Guatemala-Zacapa,municipality,GT0001,1.0,
2016-05-23,Guatemala-Jutiapa,municipality,GT0001,1.0,
2016-05-23,Guatemala-Escuintla,municipality,GT0001,1.0,
2016-05-23,Guatemala-El_Progreso,municipality,GT0001,0.0,
2016-05-23,Guatemala-Peten_Norte,municipality,GT0001,0.0,
2016-05-23,Guatemala-San_Marcos,municipality,GT0001,0.0,
2016-05-23,Guatemala-Central,municipality,GT0001,2.0,
2016-05-23,Guatemala-Ixcan,municipality,GT0001,2.0,
2016-05-23,Guatemala-Nor_Oriente,municipality,GT0001,0.0,
2016-05-23,Guatemala-Izabal,municipality,GT0001,0.0,
2016-05-23,Guatemala,country,GT0001,16.0,
2016-05-23,Guatemala-Peten_Sur_Occidental,municipality,GT0001,0.0,
2016-05-23,Guatemala-Chimaltenango,municipality,GT0001,0.0,
2016-05-23,Guatemala-Sacatepequez,municipality,GT0001,0.0,
2016-05-23,Guatemala-Solola,municipality,GT0001,0.0,
2016-05-23,Guatemala-Alta_Verapaz,municipality,GT0001,0.0,
2016-05-23,Guatemala-El_Quiche,municipality,GT0001,0.0,
2016-05-30,Guatemala-Quetzaltenango,municipality,GT0001,0.0,
2016-05-30,Guatemala-Suchitepequez,municipality,GT0001,0.0,
2016-05-30,Guatemala-Chiquimula,municipality,GT0001,3.0,
2016-05-30,Guatemala-Jalapa,municipality,GT0001,9.0,
2016-05-30,Guatemala-Retalhuleu,municipality,GT0001,0.0,
2016-05-30,Guatemala-El_Progreso,municipality,GT0001,4.0,
2016-05-30,Guatemala-Escuintla,municipality,GT0001,1.0,
2016-05-30,Guatemala-Jutiapa,municipality,GT0001,0.0,
2016-05-30,Guatemala-Peten_Norte,municipality,GT0001,0.0,
2016-05-30,Guatemala-San_Marcos,municipality,GT0001,0.0,
2016-05-30,Guatemala,country,GT0001,51.0,
2016-05-30,Guatemala-Nor_Oriente,municipality,GT0001,0.0,
2016-05-30,Guatemala-Central,municipality,GT0001,2.0,
2016-05-30,Guatemala-Peten_Sur_Oriental,municipality,GT0001,4.0,
2016-05-30,Guatemala-Izabal,municipality,GT0001,1.0,
2016-05-30,Guatemala-Zacapa,municipality,GT0001,13.0,
2016-05-30,Guatemala-Ixcan,municipality,GT0001,0.0,
2016-05-30,Guatemala-Alta_Verapaz,municipality,GT0001,0.0,
2016-05-30,Guatemala-Baja_Verapaz,municipality,GT0001,0.0,
2016-05-30,Guatemala-Solola,municipality,GT0001,0.0,
2016-05-30,Guatemala-Sacatepequez,municipality,GT0001,0.0,
2016-05-30,Guatemala-Chimaltenango,municipality,GT0001,0.0,
2016-05-30,Guatemala-Huehuetenango,municipality,GT0001,0.0,
2016-05-30,Guatemala-Sur,municipality,GT0001,0.0,
2016-05-30,Guatemala-Santa_Rosa,municipality,GT0001,14.0,
2016-05-30,Guatemala-Nor_Occidente,municipality,GT0001,0.0,
2016-05-30,Guatemala-Peten_Sur_Occidental,municipality,GT0001,0.0,
