report_date,location,location_type,data_field_code,value
2016-05-21,Sudeste,region,BR0011,61309
2016-05-21,Brazil-Minas_Gerais,state,BR0011,11670
2016-05-21,Brazil-Espirito_Santo,state,BR0011,2080
2016-05-21,Brazil-Rio_de_Janeiro,state,BR0011,43516
2016-05-21,Brazil-Sao_Paulo,state,BR0011,4043
2016-05-21,Sul,region,BR0011,2491
2016-05-21,Brazil-Parana,state,BR0011,2045
2016-05-21,Brazil-Santa_Catarina,state,BR0011,102
2016-05-21,Brazil-Rio_Grande_do_Sul,state,BR0011,344
2016-05-21,Centro-Oeste,region,BR0011,22508
2016-05-21,Brazil-Mato_Grosso_do_Sul,state,BR0011,696
2016-05-21,Brazil-Mato_Grosso,state,BR0011,18226
2016-05-21,Brazil-Goias,state,BR0011,3217
2016-05-21,Brazil-Distrito_Federal,state,BR0011,369
2016-05-21,Brazil,country,BR0011,148905
2016-05-28,Norte,region,BR0011,9022
2016-05-28,Brazil-Rondonia,state,BR0011,1032
2016-05-28,Brazil-Acre,state,BR0011,843
2016-05-28,Brazil-Amazonas,state,BR0011,2176
2016-05-28,Brazil-Roraima,state,BR0011,83
2016-05-28,Brazil-Para,state,BR0011,2032
2016-05-28,Brazil-Amapa,state,BR0011,189
2016-05-28,Brazil-Tocantins,state,BR0011,2667
2016-05-28,Nordeste,region,BR0011,59745
2016-05-28,Brazil-Maranhao,state,BR0011,2328
2016-05-28,Brazil-Piaui,state,BR0011,217
2016-05-28,Brazil-Ceara,state,BR0011,2144
2016-05-28,Brazil-Rio_Grande_do_Norte,state,BR0011,2312
2016-05-28,Brazil-Paraiba,state,BR0011,2865
2016-05-28,Brazil-Pernambuco,state,BR0011,393
2016-05-28,Brazil-Alagoas,state,BR0011,3577
2016-05-28,Brazil-Sergipe,state,BR0011,490
2016-05-28,Brazil-Bahia,state,BR0011,45419
2016-05-28,Sudeste,region,BR0011,65328
2016-05-28,Brazil-Minas_Gerais,state,BR0011,12449
2016-05-28,Brazil-Espirito_Santo,state,BR0011,2150
2016-05-28,Brazil-Rio_de_Janeiro,state,BR0011,46027
2016-05-28,Brazil-Sao_Paulo,state,BR0011,4702
2016-05-28,Sul,region,BR0011,2463
2016-05-28,Brazil-Parana,state,BR0011,2001
2016-05-28,Brazil-Santa_Catarina,state,BR0011,99
2016-05-28,Brazil-Rio_Grande_do_Sul,state,BR0011,363
2016-05-28,Centro-Oeste,region,BR0011,24683
2016-05-28,Brazil-Mato_Grosso_do_Sul,state,BR0011,698
2016-05-28,Brazil-Mato_Grosso,state,BR0011,19662
2016-05-28,Brazil-Goias,state,BR0011,3954
2016-05-28,Brazil-Distrito_Federal,state,BR0011,369
2016-05-28,Brazil,country,BR0011,161241
2016-06-11,Norte,region,BR0011,10645
2016-06-11,Brazil-Rondonia,state,BR0011,898
2016-06-11,Brazil-Acre,state,BR0011,846
2016-06-11,Brazil-Amazonas,state,BR0011,3713
2016-06-11,Brazil-Roraima,state,BR0011,83
2016-06-11,Brazil-Para,state,BR0011,2121
2016-06-11,Brazil-Amapa,state,BR0011,189
2016-06-11,Brazil-Tocantins,state,BR0011,2795
2016-06-11,Nordeste,region,BR0011,61829
2016-06-11,Brazil-Maranhao,state,BR0011,2840
2016-06-11,Brazil-Piaui,state,BR0011,241
2016-06-11,Brazil-Ceara,state,BR0011,2358
2016-06-11,Brazil-Rio_Grande_do_Norte,state,BR0011,2342
2016-06-11,Brazil-Paraiba,state,BR0011,2889
2016-06-11,Brazil-Pernambuco,state,BR0011,394
2016-06-11,Brazil-Alagoas,state,BR0011,3847
2016-06-11,Brazil-Sergipe,state,BR0011,491
2016-06-11,Brazil-Bahia,state,BR0011,46427
2016-06-11,Sudeste,region,BR0011,65820
2016-06-11,Brazil-Minas_Gerais,state,BR0011,12891
2016-06-11,Brazil-Espirito_Santo,state,BR0011,2166
2016-06-11,Brazil-Rio_de_Janeiro,state,BR0011,46027
2016-06-11,Brazil-Sao_Paulo,state,BR0011,4736
2016-06-11,Sul,region,BR0011,2392
2016-06-11,Brazil-Parana,state,BR0011,1935
2016-06-11,Brazil-Santa_Catarina,state,BR0011,97
2016-06-11,Brazil-Rio_Grande_do_Sul,state,BR0011,360
2016-06-11,Centro-Oeste,region,BR0011,25246
2016-06-11,Brazil-Mato_Grosso_do_Sul,state,BR0011,762
2016-06-11,Brazil-Mato_Grosso,state,BR0011,19985
2016-06-11,Brazil-Goias,state,BR0011,4132
2016-06-11,Brazil-Distrito_Federal,state,BR0011,367
2016-06-11,Brazil,country,BR0011,165932
